,badBondsCategory,badAnglesCategory,rankCategory
00029_cpr7p_0015251.pdb,Warning,Caution,Warning
00014_cppc_0013400.pdb,Warning,Good,Caution
00042_cpr7p_0028121.pdb,Warning,Good,Warning
00038_cpr7p_0024198.pdb,Warning,Good,Warning
00021_cpr7p_0007184.pdb,Warning,Good,Warning
00021_cpr7p_0007070.pdb,Warning,Good,Warning
00015_cpr7p_0000626.pdb,Warning,Good,Warning
00020_cpr7p_0005797.pdb,Warning,Caution,Warning
00023_cpr7p_0009215.pdb,Warning,Good,Warning
00047_cpr7p_0032928.pdb,Warning,Good,Warning
00002_cppc_0001351.pdb,Warning,Good,Warning
00018_cpr7p_0003686.pdb,Warning,Good,Warning
00028_cpr7p_0014131.pdb,Warning,Good,Warning
00003_cppc_0002140.pdb,Warning,Good,Warning
00025_cpr7p_0010816.pdb,Warning,Caution,Warning
00042_cpr7p_0028049.pdb,Warning,Good,Warning
00016_cpr7p_0002212.pdb,Warning,Good,Warning
00001_cppc_0000483.pdb,Warning,Good,Warning
00044_cpr7p_0030468.pdb,Warning,Good,Warning
00025_cpr7p_0011178.pdb,Warning,Good,Warning
00006_cppc_0005962.pdb,Warning,Good,Warning
00011_cppc_0010361.pdb,Warning,Good,Warning
00021_cpr7p_0007046.pdb,Warning,Caution,Warning
00016_cpr7p_0002557.pdb,Warning,Good,Warning
00016_cpr7p_0002430.pdb,Warning,Good,Warning
00007_cppc_0006057.pdb,Warning,Good,Warning
00025_cpr7p_0010998.pdb,Warning,Good,Warning
00049_cpr7p_0035141.pdb,Warning,Caution,Warning
00036_cpr7p_0022569.pdb,Warning,Good,Warning
00022_cpr7p_0007924.pdb,Warning,Caution,Warning
00024_cpr7p_0010479.pdb,Warning,Good,Warning
00042_cpr7p_0028293.pdb,Warning,Caution,Warning
00007_cppc_0006076.pdb,Warning,Good,Warning
00028_cpr7p_0014367.pdb,Warning,Good,Warning
00013_cppc_0012638.pdb,Warning,Good,Warning
00038_cpr7p_0023953.pdb,Warning,Good,Caution
00044_cpr7p_0030277.pdb,Warning,Caution,Warning
00017_cpr7p_0003396.pdb,Warning,Good,Warning
00049_cpr7p_0034834.pdb,Warning,Good,Warning
00014_cppc_0013380.pdb,Warning,Good,Warning
00041_cpr7p_0027221.pdb,Warning,Good,Warning
00033_cpr7p_0019065.pdb,Warning,Good,Warning
00012_cppc_0011970.pdb,Warning,Good,Warning
00043_cpr7p_0028588.pdb,Warning,Good,Warning
00010_cppc_0009869.pdb,Warning,Caution,Warning
00041_cpr7p_0026618.pdb,Warning,Good,Warning
00047_cpr7p_0032727.pdb,Warning,Good,Warning
00047_cpr7p_0033342.pdb,Warning,Good,Warning
00039_cpr7p_0025034.pdb,Warning,Good,Warning
00032_cpr7p_0018351.pdb,Warning,Good,Warning
00037_cpr7p_0023533.pdb,Warning,Good,Warning
00004_cppc_0003125.pdb,Warning,Good,Caution
00032_cpr7p_0018436.pdb,Warning,Good,Warning
00010_cppc_0009840.pdb,Warning,Good,Warning
00009_cppc_0008953.pdb,Warning,Good,Warning
00004_cppc_0003318.pdb,Warning,Good,Warning
00002_cppc_0001178.pdb,Warning,Good,Warning
00018_cpr7p_0003717.pdb,Warning,Good,Warning
00041_cpr7p_0027295.pdb,Warning,Caution,Warning
00045_cpr7p_0031374.pdb,Warning,Caution,Warning
00006_cppc_0005340.pdb,Warning,Good,Warning
00029_cpr7p_0014631.pdb,Warning,Good,Warning
00039_cpr7p_0025489.pdb,Warning,Good,Warning
00033_cpr7p_0019461.pdb,Warning,Good,Warning
00015_cpr7p_0000572.pdb,Warning,Caution,Warning
00009_cppc_0008082.pdb,Warning,Good,Warning
00021_cpr7p_0007155.pdb,Warning,Good,Warning
00027_cpr7p_0013522.pdb,Warning,Good,Warning
00031_cpr7p_0017501.pdb,Warning,Caution,Warning
00023_cpr7p_0008787.pdb,Warning,Good,Warning
00043_cpr7p_0029358.pdb,Warning,Good,Warning
00022_cpr7p_0008234.pdb,Warning,Good,Warning
00015_cpr7p_0001361.pdb,Warning,Good,Warning
00034_cpr7p_0020223.pdb,Warning,Good,Warning
00037_cpr7p_0023471.pdb,Warning,Good,Warning
00043_cpr7p_0029137.pdb,Warning,Good,Warning
00003_cppc_0002995.pdb,Warning,Good,Warning
00004_cppc_0003698.pdb,Warning,Good,Warning
00010_cppc_0009656.pdb,Warning,Good,Warning
00045_cpr7p_0031350.pdb,Warning,Good,Warning
00033_cpr7p_0018955.pdb,Warning,Good,Warning
00038_cpr7p_0023778.pdb,Warning,Good,Warning
00045_cpr7p_0030688.pdb,Warning,Good,Warning
00006_cppc_0005859.pdb,Warning,Good,Warning
00044_cpr7p_0029687.pdb,Warning,Good,Warning
00016_cpr7p_0001848.pdb,Warning,Good,Warning
00030_cpr7p_0015690.pdb,Warning,Caution,Warning
00039_cpr7p_0025099.pdb,Warning,Caution,Warning
00027_cpr7p_0013566.pdb,Warning,Caution,Warning
00042_cpr7p_0028286.pdb,Warning,Caution,Warning
00016_cpr7p_0001873.pdb,Warning,Good,Warning
00019_cpr7p_0005554.pdb,Warning,Good,Warning
00035_cpr7p_0020588.pdb,Warning,Good,Warning
00025_cpr7p_0011202.pdb,Warning,Caution,Warning
00038_cpr7p_0024201.pdb,Warning,Caution,Warning
00041_cpr7p_0026638.pdb,Warning,Good,Warning
00019_cpr7p_0005148.pdb,Warning,Caution,Warning
00004_cppc_0003552.pdb,Warning,Good,Warning
00014_cpr7p_0000472.pdb,Warning,Good,Warning
00015_cpr7p_0000999.pdb,Warning,Good,Caution
00020_cpr7p_0006160.pdb,Warning,Good,Warning
00037_cpr7p_0022716.pdb,Warning,Caution,Warning
00048_cpr7p_0033775.pdb,Warning,Good,Warning
00039_cpr7p_0024776.pdb,Warning,Good,Warning
00049_cpr7p_0035068.pdb,Warning,Good,Warning
00031_cpr7p_0017555.pdb,Warning,Good,Warning
00014_cpr7p_0000252.pdb,Warning,Good,Warning
00050_cpr7p_0036212.pdb,Warning,Good,Warning
00026_cpr7p_0011968.pdb,Warning,Good,Warning
00026_cpr7p_0012116.pdb,Warning,Good,Warning
00002_cppc_0001611.pdb,Warning,Good,Warning
00047_cpr7p_0033308.pdb,Warning,Caution,Caution
00017_cpr7p_0002971.pdb,Warning,Good,Caution
00039_cpr7p_0025384.pdb,Warning,Good,Warning
00026_cpr7p_0011989.pdb,Warning,Good,Warning
00040_cpr7p_0026275.pdb,Warning,Good,Warning
00021_cpr7p_0007327.pdb,Warning,Good,Warning
00043_cpr7p_0029255.pdb,Warning,Caution,Warning
00005_cppc_0004528.pdb,Warning,Good,Caution
00035_cpr7p_0020960.pdb,Warning,Good,Warning
00003_cppc_0002743.pdb,Warning,Caution,Warning
00040_cpr7p_0025907.pdb,Warning,Caution,Warning
00013_cppc_0012958.pdb,Warning,Good,Caution
00038_cpr7p_0023965.pdb,Warning,Good,Warning
00016_cpr7p_0002166.pdb,Warning,Caution,Warning
00010_cppc_0009343.pdb,,,
00035_cpr7p_0020914.pdb,Warning,Good,Warning
00048_cpr7p_0034521.pdb,Warning,Caution,Warning
00018_cpr7p_0004566.pdb,Warning,Good,Warning
00019_cpr7p_0004766.pdb,Warning,Caution,Warning
00006_cppc_0005392.pdb,Warning,Good,Warning
00033_cpr7p_0019367.pdb,Warning,Good,Warning
00044_cpr7p_0029615.pdb,Warning,Good,Warning
00032_cpr7p_0017958.pdb,Warning,Caution,Warning
00036_cpr7p_0021584.pdb,Warning,Good,Warning
00047_cpr7p_0033247.pdb,Warning,Caution,Warning
00032_cpr7p_0018353.pdb,Warning,Caution,Warning
00015_cpr7p_0001458.pdb,Warning,Good,Warning
00001_cppc_0000146.pdb,Warning,Good,Warning
00043_cpr7p_0029435.pdb,Warning,Good,Warning
00033_cpr7p_0019544.pdb,Warning,Good,Warning
00016_cpr7p_0002297.pdb,Warning,Caution,Warning
00001_cppc_0000943.pdb,Warning,Good,Warning
00036_cpr7p_0022195.pdb,Warning,Good,Warning
00012_cppc_0011621.pdb,Warning,Good,Caution
00011_cppc_0010763.pdb,Warning,Caution,Warning
00018_cpr7p_0004134.pdb,Warning,Good,Warning
00006_cppc_0005804.pdb,Warning,Good,Caution
00051_cpr7p_0036575.pdb,Warning,Caution,Warning
00050_cpr7p_0036483.pdb,Warning,Caution,Warning
00032_cpr7p_0018377.pdb,Warning,Good,Warning
00006_cppc_0005714.pdb,Warning,Good,Warning
00026_cpr7p_0012557.pdb,Warning,Caution,Warning
00008_cppc_0007820.pdb,Warning,Caution,Warning
00002_cppc_0001526.pdb,Warning,Good,Warning
00037_cpr7p_0022669.pdb,Warning,Good,Warning
00042_cpr7p_0028290.pdb,Warning,Good,Warning
00048_cpr7p_0034365.pdb,Warning,Caution,Warning
00028_cpr7p_0013640.pdb,Warning,Caution,Warning
00031_cpr7p_0017174.pdb,Warning,Caution,Warning
00041_cpr7p_0027138.pdb,Warning,Good,Warning
00028_cpr7p_0014327.pdb,Warning,Caution,Warning
00030_cpr7p_0016070.pdb,Warning,Caution,Warning
00002_cppc_0001432.pdb,Warning,Good,Warning
00038_cpr7p_0024453.pdb,Warning,Good,Warning
00032_cpr7p_0018222.pdb,Warning,Caution,Warning
00005_cppc_0004028.pdb,Warning,Good,Caution
00041_cpr7p_0026676.pdb,Warning,Good,Warning
00001_cppc_0000709.pdb,Warning,Good,Warning
00046_cpr7p_0031889.pdb,Warning,Good,Warning
00022_cpr7p_0008518.pdb,Warning,Caution,Warning
00017_cpr7p_0002618.pdb,Warning,Good,Warning
00009_cppc_0008094.pdb,Warning,Good,Warning
00047_cpr7p_0033178.pdb,Warning,Caution,Warning
00027_cpr7p_0012827.pdb,Warning,Good,Warning
00011_cppc_0010327.pdb,Warning,Good,Caution
00031_cpr7p_0017242.pdb,Warning,Good,Warning
00028_cpr7p_0014568.pdb,Warning,Good,Warning
00050_cpr7p_0036310.pdb,Warning,Good,Warning
00049_cpr7p_0035205.pdb,Warning,Caution,Warning
00023_cpr7p_0009516.pdb,Warning,Good,Warning
00001_cppc_0000103.pdb,Warning,Good,Warning
00021_cpr7p_0006634.pdb,Warning,Caution,Warning
00014_cppc_0013286.pdb,Warning,Good,Caution
00046_cpr7p_0031866.pdb,Warning,Good,Warning
00009_cppc_0008919.pdb,Warning,Caution,Good
00017_cpr7p_0002700.pdb,Warning,Good,Warning
00010_cppc_0009148.pdb,Warning,Good,Warning
00046_cpr7p_0032209.pdb,Warning,Good,Warning
00029_cpr7p_0015289.pdb,Warning,Good,Warning
00041_cpr7p_0026871.pdb,Warning,Good,Warning
00035_cpr7p_0020631.pdb,Warning,Good,Warning
00008_cppc_0007179.pdb,Warning,Good,Warning
00044_cpr7p_0029603.pdb,Warning,Caution,Warning
00045_cpr7p_0030822.pdb,Warning,Good,Warning
00031_cpr7p_0017151.pdb,Warning,Good,Warning
00026_cpr7p_0011850.pdb,Warning,Good,Warning
00024_cpr7p_0010005.pdb,Warning,Good,Warning
00023_cpr7p_0009479.pdb,Warning,Caution,Warning
00044_cpr7p_0029812.pdb,Warning,Good,Warning
00018_cpr7p_0004070.pdb,Warning,Caution,Warning
00047_cpr7p_0032631.pdb,Warning,Good,Warning
00002_cppc_0001002.pdb,Warning,Good,Warning
00034_cpr7p_0019864.pdb,Warning,Good,Warning
00014_cpr7p_0000382.pdb,Warning,Good,Warning
00047_cpr7p_0032763.pdb,Warning,Good,Warning
00019_cpr7p_0004987.pdb,Warning,Good,Warning
00047_cpr7p_0033506.pdb,Warning,Good,Warning
00014_cpr7p_0000236.pdb,Warning,Good,Warning
00023_cpr7p_0008871.pdb,Warning,Good,Caution
00031_cpr7p_0016879.pdb,Warning,Caution,Warning
00037_cpr7p_0022850.pdb,Warning,Good,Warning
00044_cpr7p_0030532.pdb,Warning,Good,Warning
00038_cpr7p_0024209.pdb,Warning,Caution,Warning
00009_cppc_0008846.pdb,Warning,Good,Warning
00037_cpr7p_0023189.pdb,Warning,Good,Warning
00044_cpr7p_0029778.pdb,Warning,Caution,Warning
00050_cpr7p_0035822.pdb,Warning,Good,Warning
00019_cpr7p_0005239.pdb,Warning,Good,Warning
00028_cpr7p_0014004.pdb,Warning,Good,Warning
00020_cpr7p_0005786.pdb,Warning,Caution,Warning
00018_cpr7p_0003906.pdb,Warning,Good,Warning
00039_cpr7p_0024945.pdb,Warning,Good,Warning
00014_cpr7p_0000391.pdb,Warning,Good,Warning
00033_cpr7p_0019491.pdb,Warning,Good,Warning
00048_cpr7p_0033754.pdb,Warning,Caution,Warning
00045_cpr7p_0031285.pdb,Warning,Caution,Warning
00037_cpr7p_0023423.pdb,Warning,Caution,Warning
00040_cpr7p_0026144.pdb,Warning,Good,Warning
00030_cpr7p_0015921.pdb,Warning,Good,Warning
00046_cpr7p_0031724.pdb,Warning,Good,Warning
00044_cpr7p_0030395.pdb,Warning,Good,Warning
00036_cpr7p_0022013.pdb,Warning,Good,Warning
00017_cpr7p_0002853.pdb,Warning,Good,Warning
00047_cpr7p_0033298.pdb,Warning,Good,Warning
00046_cpr7p_0032287.pdb,Warning,Caution,Warning
00050_cpr7p_0036269.pdb,Warning,Caution,Warning
00038_cpr7p_0023912.pdb,Warning,Caution,Warning
00025_cpr7p_0011436.pdb,Warning,Good,Warning
00041_cpr7p_0027383.pdb,Warning,Good,Warning
00029_cpr7p_0014717.pdb,Warning,Good,Warning
00016_cpr7p_0001673.pdb,Warning,Good,Warning
00038_cpr7p_0023629.pdb,Warning,Good,Warning
00013_cppc_0012726.pdb,Warning,Caution,Warning
00042_cpr7p_0028123.pdb,Warning,Good,Warning
00044_cpr7p_0029817.pdb,Warning,Good,Warning
00030_cpr7p_0015610.pdb,Warning,Caution,Warning
00023_cpr7p_0008615.pdb,Warning,Good,Warning
00028_cpr7p_0014386.pdb,Warning,Good,Warning
00035_cpr7p_0021455.pdb,Warning,Caution,Warning
00048_cpr7p_0033981.pdb,Warning,Good,Warning
00032_cpr7p_0017773.pdb,Warning,Good,Warning
00006_cppc_0005084.pdb,Warning,Good,Warning
00004_cppc_0003441.pdb,Warning,Good,Caution
00008_cppc_0007304.pdb,Warning,Good,Warning
00040_cpr7p_0026066.pdb,Warning,Caution,Warning
00036_cpr7p_0022503.pdb,Warning,Caution,Warning
00005_cppc_0004053.pdb,Warning,Caution,Warning
00012_cppc_0011784.pdb,Warning,Good,Warning
00043_cpr7p_0029478.pdb,Warning,Good,Warning
00041_cpr7p_0027315.pdb,Warning,Good,Warning
00022_cpr7p_0007597.pdb,Warning,Caution,Warning
00032_cpr7p_0017721.pdb,Warning,Good,Warning
00031_cpr7p_0016943.pdb,Warning,Good,Warning
00042_cpr7p_0027677.pdb,Warning,Caution,Warning
00023_cpr7p_0008858.pdb,Warning,Good,Caution
00036_cpr7p_0022398.pdb,Warning,Good,Warning
00050_cpr7p_0036229.pdb,Warning,Good,Warning
00042_cpr7p_0027967.pdb,Warning,Good,Warning
00031_cpr7p_0017031.pdb,Warning,Good,Warning
00005_cppc_0004187.pdb,Warning,Good,Warning
00038_cpr7p_0024302.pdb,Warning,Caution,Warning
00044_cpr7p_0030372.pdb,Warning,Good,Warning
00048_cpr7p_0034105.pdb,Warning,Good,Warning
00019_cpr7p_0004975.pdb,Warning,Good,Warning
00044_cpr7p_0030209.pdb,Warning,Good,Caution
00031_cpr7p_0017137.pdb,Warning,Good,Warning
00021_cpr7p_0007073.pdb,Warning,Good,Warning
00040_cpr7p_0026455.pdb,Warning,Good,Warning
00008_cppc_0007707.pdb,Warning,Good,Caution
00033_cpr7p_0019225.pdb,Warning,Caution,Warning
00043_cpr7p_0028919.pdb,Warning,Good,Warning
00006_cppc_0005189.pdb,Warning,Good,Good
00006_cppc_0005934.pdb,Warning,Caution,Warning
00040_cpr7p_0026054.pdb,Warning,Good,Caution
00009_cppc_0008624.pdb,,,
00003_cppc_0002128.pdb,Warning,Good,Warning
00023_cpr7p_0009357.pdb,Warning,Good,Warning
00039_cpr7p_0025192.pdb,Warning,Good,Warning
00005_cppc_0004667.pdb,Warning,Good,Warning
00018_cpr7p_0004036.pdb,Warning,Caution,Warning
00037_cpr7p_0022572.pdb,Warning,Caution,Warning
00002_cppc_0001953.pdb,Warning,Good,Warning
00011_cppc_0010351.pdb,Warning,Good,Warning
00049_cpr7p_0035088.pdb,Warning,Good,Warning
00031_cpr7p_0017002.pdb,Warning,Good,Warning
00019_cpr7p_0005195.pdb,Warning,Good,Caution
00028_cpr7p_0013923.pdb,Warning,Good,Warning
00038_cpr7p_0023979.pdb,Warning,Caution,Warning
00044_cpr7p_0030435.pdb,Warning,Good,Warning
00049_cpr7p_0035271.pdb,Warning,Good,Warning
00045_cpr7p_0030611.pdb,Warning,Caution,Warning
00003_cppc_0002192.pdb,Warning,Good,Warning
00019_cpr7p_0005045.pdb,Warning,Caution,Warning
00036_cpr7p_0021675.pdb,Warning,Good,Warning
00049_cpr7p_0035094.pdb,Warning,Good,Warning
00035_cpr7p_0021174.pdb,Warning,Good,Warning
00017_cpr7p_0003202.pdb,Warning,Caution,Warning
00023_cpr7p_0008636.pdb,Warning,Caution,Warning
00024_cpr7p_0010557.pdb,Warning,Good,Warning
00043_cpr7p_0028998.pdb,Warning,Good,Warning
00015_cpr7p_0001448.pdb,Warning,Caution,Warning
00025_cpr7p_0011143.pdb,Warning,Caution,Warning
00003_cppc_0002629.pdb,Warning,Good,Warning
00035_cpr7p_0020612.pdb,Warning,Good,Warning
00040_cpr7p_0025765.pdb,Warning,Caution,Warning
00041_cpr7p_0027271.pdb,Warning,Caution,Warning
00033_cpr7p_0018769.pdb,Warning,Good,Caution
00008_cppc_0007521.pdb,Warning,Good,Warning
00045_cpr7p_0030976.pdb,Warning,Good,Warning
00039_cpr7p_0024813.pdb,Warning,Good,Warning
00040_cpr7p_0025743.pdb,Warning,Good,Warning
00028_cpr7p_0013925.pdb,Warning,Good,Warning
00020_cpr7p_0006393.pdb,Warning,Good,Warning
00042_cpr7p_0027713.pdb,Warning,Caution,Warning
00044_cpr7p_0029767.pdb,Warning,Good,Warning
00025_cpr7p_0010628.pdb,Warning,Good,Warning
00030_cpr7p_0016164.pdb,Warning,Good,Warning
00011_cppc_0010124.pdb,Warning,Good,Warning
00046_cpr7p_0031618.pdb,Warning,Good,Warning
00006_cppc_0005802.pdb,Warning,Good,Warning
00025_cpr7p_0010690.pdb,Warning,Good,Warning
00036_cpr7p_0021726.pdb,Warning,Caution,Warning
00026_cpr7p_0011749.pdb,Warning,Good,Warning
00043_cpr7p_0029455.pdb,Warning,Caution,Warning
00016_cpr7p_0002079.pdb,Warning,Caution,Warning
00040_cpr7p_0025979.pdb,Warning,Good,Warning
00041_cpr7p_0027202.pdb,Warning,Good,Warning
00038_cpr7p_0024104.pdb,Warning,Good,Warning
00028_cpr7p_0013897.pdb,Warning,Good,Warning
00018_cpr7p_0003829.pdb,Warning,Caution,Warning
00024_cpr7p_0010230.pdb,Warning,Good,Caution
00031_cpr7p_0017353.pdb,Warning,Caution,Warning
00039_cpr7p_0025537.pdb,Warning,Good,Warning
00027_cpr7p_0013518.pdb,Warning,Good,Warning
00004_cppc_0003105.pdb,Warning,Good,Warning
00019_cpr7p_0004593.pdb,Warning,Caution,Warning
00036_cpr7p_0022144.pdb,Warning,Caution,Warning
00048_cpr7p_0034141.pdb,Warning,Caution,Warning
00035_cpr7p_0020921.pdb,Warning,Good,Warning
00036_cpr7p_0021756.pdb,Warning,Good,Warning
00038_cpr7p_0023975.pdb,Warning,Caution,Warning
00010_cppc_0009424.pdb,Warning,Good,Caution
00047_cpr7p_0032747.pdb,Warning,Good,Warning
00019_cpr7p_0004939.pdb,Warning,Good,Warning
00029_cpr7p_0015036.pdb,Warning,Good,Warning
00030_cpr7p_0015979.pdb,Warning,Good,Warning
00048_cpr7p_0034389.pdb,Warning,Good,Warning
00027_cpr7p_0013346.pdb,Warning,Caution,Warning
00022_cpr7p_0007950.pdb,Warning,Caution,Warning
00044_cpr7p_0029887.pdb,Warning,Caution,Warning
00032_cpr7p_0018342.pdb,Warning,Good,Warning
00036_cpr7p_0021997.pdb,Warning,Good,Warning
00034_cpr7p_0020206.pdb,Warning,Good,Warning
00027_cpr7p_0012640.pdb,Warning,Good,Warning
00027_cpr7p_0012894.pdb,Warning,Good,Warning
00020_cpr7p_0005676.pdb,Warning,Good,Caution
00021_cpr7p_0007161.pdb,Warning,Good,Warning
00015_cpr7p_0000603.pdb,Warning,Good,Warning
00050_cpr7p_0035893.pdb,Warning,Caution,Warning
00015_cpr7p_0000605.pdb,Warning,Good,Warning
00020_cpr7p_0005864.pdb,Warning,Good,Warning
00036_cpr7p_0022184.pdb,Warning,Good,Warning
00030_cpr7p_0015708.pdb,Warning,Good,Warning
00045_cpr7p_0031343.pdb,Warning,Caution,Warning
00030_cpr7p_0016300.pdb,Warning,Caution,Warning
00049_cpr7p_0034740.pdb,Warning,Good,Warning
00032_cpr7p_0017888.pdb,Warning,Good,Warning
00008_cppc_0007818.pdb,Warning,Good,Warning
00026_cpr7p_0012188.pdb,Warning,Good,Warning
00036_cpr7p_0022485.pdb,Warning,Good,Warning
00034_cpr7p_0019686.pdb,Warning,Good,Warning
00035_cpr7p_0021390.pdb,Warning,Good,Warning
00039_cpr7p_0025505.pdb,Warning,Good,Warning
00026_cpr7p_0012545.pdb,Warning,Good,Warning
00358_okr7d_0000725.pdb,Warning,Warning,Warning
00033_cpr7p_0019266.pdb,Warning,Good,Warning
00048_cpr7p_0034344.pdb,Warning,Good,Warning
00019_cpr7p_0004997.pdb,Warning,Good,Warning
00034_cpr7p_0019744.pdb,Warning,Good,Warning
00045_cpr7p_0030602.pdb,Warning,Caution,Warning
00044_cpr7p_0030080.pdb,Warning,Caution,Warning
00015_cpr7p_0000613.pdb,Warning,Caution,Warning
00021_cpr7p_0007406.pdb,Warning,Good,Warning
00014_cpr7p_0000535.pdb,Warning,Caution,Warning
00017_cpr7p_0003483.pdb,Warning,Caution,Warning
00027_cpr7p_0013433.pdb,Warning,Good,Warning
00038_cpr7p_0024218.pdb,Warning,Good,Warning
00028_cpr7p_0014080.pdb,Warning,Good,Warning
00048_cpr7p_0033957.pdb,Warning,Caution,Warning
00043_cpr7p_0029095.pdb,Warning,Caution,Warning
00038_cpr7p_0023863.pdb,Warning,Good,Warning
00015_cpr7p_0000609.pdb,Warning,Good,Caution
00043_cpr7p_0029108.pdb,Warning,Good,Warning
00038_cpr7p_0023936.pdb,Warning,Good,Warning
00044_cpr7p_0029693.pdb,Warning,Good,Warning
00028_cpr7p_0013629.pdb,Warning,Caution,Warning
00027_cpr7p_0013000.pdb,Warning,Good,Warning
00016_cpr7p_0002284.pdb,Warning,Good,Warning
00026_cpr7p_0011741.pdb,Warning,Good,Warning
00022_cpr7p_0007772.pdb,Warning,Caution,Warning
00009_cppc_0008224.pdb,,,
00045_cpr7p_0030883.pdb,Warning,Good,Warning
00026_cpr7p_0011953.pdb,Warning,Good,Warning
00021_cpr7p_0006791.pdb,Warning,Good,Warning
00045_cpr7p_0031074.pdb,Warning,Good,Warning
00031_cpr7p_0017447.pdb,Warning,Good,Warning
00027_cpr7p_0013511.pdb,Warning,Good,Warning
00031_cpr7p_0017350.pdb,Warning,Good,Warning
00022_cpr7p_0007784.pdb,Warning,Caution,Warning
00025_cpr7p_0010974.pdb,Warning,Good,Warning
00020_cpr7p_0006138.pdb,Warning,Good,Warning
00016_cpr7p_0001819.pdb,Warning,Good,Warning
00027_cpr7p_0013244.pdb,Warning,Good,Warning
00029_cpr7p_0014913.pdb,Warning,Good,Warning
00032_cpr7p_0018239.pdb,Warning,Good,Warning
00022_cpr7p_0008293.pdb,Warning,Caution,Warning
00038_cpr7p_0023701.pdb,Warning,Caution,Warning
00010_cppc_0009612.pdb,Warning,Caution,Caution
00025_cpr7p_0010746.pdb,Warning,Good,Warning
00028_cpr7p_0013914.pdb,Warning,Good,Warning
00029_cpr7p_0014710.pdb,Warning,Good,Warning
00012_cppc_0011520.pdb,Warning,Good,Warning
00039_cpr7p_0025359.pdb,Warning,Good,Warning
00019_cpr7p_0004649.pdb,Warning,Caution,Warning
00046_cpr7p_0031835.pdb,Warning,Good,Warning
00044_cpr7p_0029642.pdb,Warning,Good,Warning
00035_cpr7p_0020811.pdb,Warning,Good,Warning
00049_cpr7p_0034719.pdb,Warning,Good,Warning
00028_cpr7p_0013951.pdb,Warning,Good,Warning
00013_cppc_0012051.pdb,Warning,Caution,Warning
00003_cppc_0002409.pdb,Warning,Good,Warning
00019_cpr7p_0004804.pdb,Warning,Caution,Warning
00036_cpr7p_0022532.pdb,Warning,Good,Warning
00025_cpr7p_0011168.pdb,Warning,Caution,Warning
00041_cpr7p_0026869.pdb,Warning,Caution,Warning
00041_cpr7p_0027089.pdb,Warning,Good,Warning
00045_cpr7p_0030917.pdb,Warning,Caution,Warning
00026_cpr7p_0011787.pdb,Warning,Caution,Warning
00039_cpr7p_0025249.pdb,Warning,Good,Warning
00032_cpr7p_0018400.pdb,Warning,Caution,Warning
00037_cpr7p_0022746.pdb,Warning,Good,Warning
00007_cppc_0006043.pdb,Warning,Good,Warning
00044_cpr7p_0030555.pdb,Warning,Good,Warning
00034_cpr7p_0020055.pdb,Warning,Caution,Warning
00034_cpr7p_0020083.pdb,Warning,Good,Warning
00018_cpr7p_0004184.pdb,Warning,Caution,Warning
00047_cpr7p_0033237.pdb,Warning,Caution,Warning
00042_cpr7p_0028226.pdb,Warning,Good,Warning
00029_cpr7p_0015290.pdb,Warning,Good,Warning
00039_cpr7p_0024682.pdb,Warning,Good,Warning
00042_cpr7p_0028413.pdb,Warning,Good,Warning
00051_cpr7p_0036705.pdb,Warning,Caution,Warning
00045_cpr7p_0031049.pdb,Warning,Caution,Warning
00036_cpr7p_0022567.pdb,Warning,Good,Warning
00025_cpr7p_0011512.pdb,Warning,Good,Warning
00011_cppc_0010476.pdb,Warning,Good,Warning
00016_cpr7p_0001783.pdb,Warning,Good,Warning
00020_cpr7p_0005665.pdb,Warning,Good,Warning
00037_cpr7p_0023132.pdb,Warning,Caution,Warning
00014_cpr7p_0000499.pdb,Warning,Good,Warning
00041_cpr7p_0026576.pdb,Warning,Caution,Caution
00016_cpr7p_0002028.pdb,Warning,Caution,Warning
00040_cpr7p_0026135.pdb,Warning,Good,Warning
00046_cpr7p_0032153.pdb,Warning,Good,Warning
00027_cpr7p_0013236.pdb,Warning,Good,Warning
00044_cpr7p_0030479.pdb,Warning,Caution,Warning
00038_cpr7p_0023715.pdb,Warning,Caution,Warning
00037_cpr7p_0022789.pdb,Warning,Caution,Warning
00015_cpr7p_0001368.pdb,Warning,Good,Warning
00044_cpr7p_0029757.pdb,Warning,Good,Warning
00015_cpr7p_0001566.pdb,Warning,Good,Warning
00050_cpr7p_0035933.pdb,Warning,Caution,Warning
00024_cpr7p_0010206.pdb,Warning,Good,Warning
00020_cpr7p_0005735.pdb,Warning,Good,Warning
00031_cpr7p_0017202.pdb,Warning,Good,Warning
00025_cpr7p_0010909.pdb,Warning,Good,Warning
00020_cpr7p_0006152.pdb,Warning,Good,Warning
00022_cpr7p_0008428.pdb,Warning,Caution,Warning
00042_cpr7p_0027590.pdb,Warning,Good,Warning
00023_cpr7p_0008791.pdb,Warning,Good,Warning
00043_cpr7p_0029063.pdb,Warning,Good,Warning
00018_cpr7p_0004028.pdb,Warning,Good,Warning
00047_cpr7p_0033423.pdb,Warning,Good,Warning
00043_cpr7p_0029018.pdb,Warning,Good,Warning
00032_cpr7p_0017850.pdb,Warning,Good,Warning
00050_cpr7p_0036005.pdb,Warning,Good,Warning
00029_cpr7p_0015142.pdb,Warning,Good,Warning
00041_cpr7p_0026644.pdb,Warning,Good,Warning
00032_cpr7p_0018455.pdb,Warning,Caution,Warning
00016_cpr7p_0001612.pdb,Warning,Good,Warning
