,badBondsCategory,badAnglesCategory,rankCategory
00007_cppc_0006594.pdb,Warning,Good,Warning
00009_cppc_0008693.pdb,Warning,Good,Warning
00013_cppc_0012234.pdb,Warning,Good,Warning
00014_cppc_0013262.pdb,Warning,Good,Warning
00011_cppc_0010479.pdb,Warning,Good,Warning
00009_cppc_0008462.pdb,Warning,Good,Warning
00002_cppc_0001006.pdb,Warning,Good,Warning
00004_cppc_0003958.pdb,Warning,Good,Warning
00013_cppc_0012013.pdb,,,
00008_cppc_0007529.pdb,Warning,Good,Warning
00005_cppc_0004964.pdb,Warning,Good,Caution
00011_cppc_0010766.pdb,Warning,Good,Warning
00003_cppc_0002460.pdb,Warning,Good,Caution
00007_cppc_0006989.pdb,Warning,Good,Warning
00001_cppc_0000947.pdb,Warning,Good,Warning
00014_cppc_0013295.pdb,Warning,Good,Warning
00011_cppc_0010743.pdb,Warning,Good,Warning
00008_cppc_0007677.pdb,Warning,Good,Caution
00009_cppc_0008342.pdb,Warning,Good,Warning
00008_cppc_0007148.pdb,Warning,Good,Warning
00003_cppc_0002853.pdb,Warning,Good,Warning
00011_cppc_0010607.pdb,Warning,Good,Warning
00001_cppc_0000992.pdb,Warning,Good,Warning
00012_cppc_0011296.pdb,Warning,Good,Warning
00010_cppc_0009970.pdb,Warning,Good,Warning
00004_cppc_0003762.pdb,Warning,Good,Warning
00009_cppc_0008614.pdb,Warning,Good,Warning
00006_cppc_0005822.pdb,Warning,Good,Warning
00005_cppc_0004056.pdb,Warning,Good,Warning
00001_cppc_0000218.pdb,Warning,Good,Warning
00008_cppc_0007692.pdb,Warning,Good,Caution
00011_cppc_0010939.pdb,Warning,Good,Warning
00012_cppc_0011241.pdb,Warning,Good,Caution
00006_cppc_0005842.pdb,,,
00026_cpr7p_0012241.pdb,Warning,Good,Warning
00003_cppc_0002472.pdb,Warning,Good,Warning
00030_cpr7p_0016059.pdb,Warning,Good,Warning
00005_cppc_0004937.pdb,Warning,Good,Warning
00008_cppc_0007750.pdb,Warning,Good,Warning
00008_cppc_0007510.pdb,Warning,Good,Warning
00010_cppc_0009416.pdb,Warning,Good,Warning
00002_cppc_0001252.pdb,,,
00007_cppc_0006730.pdb,Warning,Good,Warning
00005_cppc_0004228.pdb,Warning,Good,Warning
00010_cppc_0009081.pdb,Warning,Good,Warning
00009_cppc_0008648.pdb,Warning,Good,Warning
00008_cppc_0007205.pdb,Warning,Good,Warning
